LastName,FirstName,Department,JobTitle,Salary,YearsOfExperience
Martinez,Jane,HR,Human Resources Specialist,48395.15,7
Rodriguez,David,IT,Administrative Assistant,53477.66,17
Garcia,Sarah,IT,Registrar Clerk,30141.04,29
Davis,Chris,HR,Security Officer,71976.48,34
Martinez,Sarah,HR,Lab Technician,39862.62,2
Rodriguez,John,Finance,Security Officer,34132.4,35
Smith,Anna,HR,Human Resources Specialist,48500.96,6
Jones,Michael,Maintenance,Registrar Clerk,49764.75,31
Jones,Jane,Research,Library Technician,51538.63,11
Davis,Emily,Finance,Human Resources Specialist,78177.18,28
Miller,Jane,IT,Registrar Clerk,46598.86,22
Johnson,Anna,IT,Facilities Manager,48621.37,10
Johnson,Laura,Maintenance,Registrar Clerk,34325.56,31
Johnson,Jane,IT,Facilities Manager,35550.34,29
Martinez,John,Research,Accountant,79147.7,4
Davis,John,IT,Administrative Assistant,46053.84,3
Rodriguez,Sarah,IT,Library Technician,54118.06,4
Davis,Jane,Administration,Security Officer,35799.66,8
Smith,John,IT,IT Support Specialist,75365.33,33
Brown,Sarah,Administration,Registrar Clerk,34754.99,3
Johnson,Chris,Administration,Facilities Manager,67439.37,4
Davis,John,Research,Registrar Clerk,57597.64,21
Williams,Sarah,Administration,Accountant,31617.86,14
Williams,Chris,Administration,Library Technician,41416.3,7
Davis,Anna,Administration,Administrative Assistant,32872.92,4
Brown,Anna,Administration,Facilities Manager,78685.99,10
Miller,John,Finance,Human Resources Specialist,64990.03,24
Miller,Michael,IT,Lab Technician,41220.39,35
Smith,Laura,IT,Library Technician,58134.18,8
Davis,Michael,Administration,IT Support Specialist,36254.3,27
Rodriguez,Alex,Research,Library Technician,32444.49,27
Martinez,Sarah,Research,Library Technician,41965.72,7
Martinez,Laura,HR,Lab Technician,63901.04,8
Johnson,David,IT,Accountant,65127.61,20
Garcia,Alex,Finance,Lab Technician,73556.51,5
Jones,Chris,Maintenance,Security Officer,74120.53,24
Smith,Jane,HR,Facilities Manager,75511.93,34
Miller,David,IT,Library Technician,75419.02,33
Johnson,Emily,Library,Accountant,72353.5,3
Rodriguez,Michael,Administration,Lab Technician,52016.77,20
Miller,Michael,Library,Human Resources Specialist,41692.3,20
Miller,Anna,Research,Security Officer,48092.97,12
Rodriguez,Alex,Library,Human Resources Specialist,65281.29,17
Johnson,David,IT,IT Support Specialist,36720.34,30
Martinez,Anna,IT,Accountant,54857.46,7
Garcia,Laura,HR,Lab Technician,78306.03,34
Miller,Laura,HR,Facilities Manager,58569.02,28
Brown,John,IT,Security Officer,31604.31,15
Jones,Anna,IT,Lab Technician,39862.82,28
Martinez,Jane,Finance,Facilities Manager,47136.67,2
Johnson,Laura,Administration,Library Technician,76084.43,5
Martinez,John,Administration,Registrar Clerk,31183.85,8
Garcia,John,IT,Security Officer,38537.12,12
Garcia,Chris,Maintenance,Administrative Assistant,49574.83,16
Garcia,Anna,HR,Administrative Assistant,61922.43,10
Johnson,Laura,IT,Lab Technician,78906.47,29
