LastName,FirstName,Department,JobTitle,Salary,DateHired
Anderson,John,Administration,Clerk,34051,10/10/2006
Anderson,James,Finance,Accountant,54136,12/2/1999
Moore,William,Facilities,Maintenance Worker,37619,7/29/2011
Anderson,Linda,Finance,Payroll Specialist,54949,6/14/2001
Moore,Jennifer,Finance,Financial Analyst,63542,9/16/2008
Harris,Robert,Facilities,Custodian,31149,5/1/2001
Wilson,Susan,Administration,Administrative Assistant,51315,8/15/2003
Davis,Jennifer,Administration,Administrative Assistant,52656,4/15/2004
Williams,James,Administration,Administrative Assistant,52822,4/4/2009
White,David,HR,HR Manager,82142,8/24/2005
White,Jennifer,Administration,Secretary,43031,4/18/2003
Miller,Jessica,HR,HR Manager,75013,12/14/2009
Jones,Joseph,IT,Database Administrator,96483,10/31/2012
Brown,Thomas,HR,Recruiter,58528,7/1/2006
Harris,Mary,IT,IT Support Specialist,58610,7/30/2008
Taylor,Susan,HR,HR Assistant,47295,9/11/2014
Miller,Joseph,HR,Recruiter,45470,10/1/2013
Wilson,Susan,HR,HR Assistant,40813,2/27/2014
White,Michael,IT,Database Administrator,92976,6/23/2013
Brown,Linda,Administration,Administrative Assistant,43130,9/18/2009
Moore,Elizabeth,HR,HR Manager,77874,12/2/2001
Wilson,Linda,HR,HR Assistant,36524,12/29/2010
Moore,Barbara,Finance,Financial Analyst,81756,9/10/2005
Taylor,Jennifer,Facilities,Custodian,30632,3/31/2010
Martin,Jessica,IT,System Administrator,74868,9/5/2014
Miller,Jessica,Finance,Accountant,56310,3/27/2008
Miller,Mary,Finance,Accountant,57090,11/13/2009
Brown,Patricia,Facilities,Custodian,34777,12/21/2005
Johnson,Robert,IT,IT Support Specialist,50912,1/23/2001
Davis,Joseph,Facilities,Maintenance Worker,34494,9/13/2004
Davis,Robert,IT,Database Administrator,74137,8/6/2006
Wilson,Thomas,Administration,Clerk,39405,12/6/2006
Moore,Elizabeth,HR,Recruiter,48020,6/17/2010
White,David,Administration,Clerk,36565,2/14/2001
Johnson,William,Administration,Clerk,32444,6/14/2003
Moore,Linda,Administration,Clerk,31940,5/28/2007
Smith,Elizabeth,Facilities,Custodian,28697,2/22/2000
Wilson,Jennifer,HR,Recruiter,49871,4/25/1999
Jones,Elizabeth,IT,Database Administrator,90349,9/8/2000
Jackson,Joseph,Finance,Payroll Specialist,48457,11/18/2009
Taylor,Joseph,Finance,Accountant,55695,12/12/2007
Moore,Barbara,Administration,Secretary,42381,4/5/2001
Anderson,Jessica,IT,IT Support Specialist,48792,9/24/2014
Harris,James,HR,HR Assistant,46262,2/25/2003
