FirstName,LastName,Gender,BirthDate,Department,Position,Salary
John,Smith,Male,06/26/1980,IT,Software Engineer,71824
Christopher,Lee,Male,06/03/1985,IT,System Administrator,77506
Michael,Davis,Male,06/05/1985,Finance,Financial Analyst,78657
Megan,Clark,Female,07/10/1992,IT,Database Analyst,72679
Sarah,Johnson,Female,07/14/1986,HR,HR Manager,93935
Ashley,Martinez,Female,05/09/1991,Marketing,Content Writer,80674
Brian,Miller,Male,08/26/1988,Finance,Senior Accountant,83520
Emily,Wilson,Female,10/17/1992,Marketing,Marketing Specialist,78535
Emma,Wilson,Female,8/15/1993,Marketing,Marketing Specialist,67000
James,Brown,Male,5/10/1991,Sales,Sales Executive,73000
